idno,complex_id,protein_id
5400,BRCC complex,Q06609
5400,BRCC complex,Q9NXR7
5401,PLEKHM2-KIF5B complex,P33176
5401,PLEKHM2-KIF5B complex,Q8IWE5
5407,NGF-TrkA complex,P01138
5407,NGF-TrkA complex,P04629
5408,Neurotrophin-3-p75 complex,P08138
5408,Neurotrophin-3-p75 complex,P20783
5409,TIAM1-GRIN1 complex,Q05586
5409,TIAM1-GRIN1 complex,Q13009
5411,HTR1D-S1PR1 complex,P21453
5411,HTR1D-S1PR1 complex,P28221
5412,HTR1D  homodimer complex,P28221
5414,HTR1A-HTR1D complex,P08908
5414,HTR1A-HTR1D complex,P28221
5415,HTR1B homodimer complex,P28222
5416,HTR1A-HTR1B complex,P08908
5416,HTR1A-HTR1B complex,P28222
5417,HTR1D-HTR1B complex,P28221
5417,HTR1D-HTR1B complex,P28222
5418,GABBR2-HTR1A complex,O75899
5418,GABBR2-HTR1A complex,P08908
5419,HTR1A-GPR26 complex,P08908
5419,HTR1A-GPR26 complex,Q8NDV2
5420,HTR1A-EDG3 complex,P08908
5420,HTR1A-EDG3 complex,Q99500
5421,HTR1A homodimer complex,P08908
5422,HTR1A-S1PR1 complex,P08908
5422,HTR1A-S1PR1 complex,P21453
5423,HSP70-BAG5-PARK2 complex,O60260
5423,HSP70-BAG5-PARK2 complex,P0DMV8
5423,HSP70-BAG5-PARK2 complex,P34932
5423,HSP70-BAG5-PARK2 complex,Q9UL15
5424,NGF-p75 complex,P01138
5424,NGF-p75 complex,P08138
5426,ANKRD11-HDAC3  complex,O15379
5426,ANKRD11-HDAC3  complex,Q6UB99
5432,Sororin-cohesin complex,O60216
5432,Sororin-cohesin complex,Q14683
5432,Sororin-cohesin complex,Q29RF7
5432,Sororin-cohesin complex,Q96FF9
5432,Sororin-cohesin complex,Q9NTI5
5432,Sororin-cohesin complex,Q9UQE7
5441,NRG1-IKZF4 complex,Q02297
5441,NRG1-IKZF4 complex,Q9H2S9
5442,EPOR receptor complex,P19235
5446,EPO-EPOR complex,P01588
5446,EPO-EPOR complex,P19235
5449,"Splicing-associated factors complex (ALYREF, DEK, RBM8A, RNPS1, SRRM1)",P35659
5449,"Splicing-associated factors complex (ALYREF, DEK, RBM8A, RNPS1, SRRM1)",Q15287
5449,"Splicing-associated factors complex (ALYREF, DEK, RBM8A, RNPS1, SRRM1)",Q86V81
5449,"Splicing-associated factors complex (ALYREF, DEK, RBM8A, RNPS1, SRRM1)",Q8IYB3
5449,"Splicing-associated factors complex (ALYREF, DEK, RBM8A, RNPS1, SRRM1)",Q9Y5S9
5450,Mediator complex,A0JLT2
5450,Mediator complex,O43513
5450,Mediator complex,O60244
5450,Mediator complex,O60313
5450,Mediator complex,O75448
5450,Mediator complex,O75586
5450,Mediator complex,O95402
5450,Mediator complex,Q13503
5450,Mediator complex,Q15528
5450,Mediator complex,Q15648
5450,Mediator complex,Q6P2C8
5450,Mediator complex,Q71F56
5450,Mediator complex,Q71SY5
5450,Mediator complex,Q96G25
5450,Mediator complex,Q96HR3
5450,Mediator complex,Q96RN5
5450,Mediator complex,Q9BTT4
5450,Mediator complex,Q9BUE0
5450,Mediator complex,Q9H944
5450,Mediator complex,Q9NPJ6
5450,Mediator complex,Q9NVC6
5450,Mediator complex,Q9NX70
5450,Mediator complex,Q9P086
5450,Mediator complex,Q9UHV7
5450,Mediator complex,Q9ULK4
5450,Mediator complex,Q9Y2X0
5450,Mediator complex,Q9Y3C7
5451,MED18-MED20-MED29 mediator subcomplex,Q9BUE0
5451,MED18-MED20-MED29 mediator subcomplex,Q9H944
5451,MED18-MED20-MED29 mediator subcomplex,Q9NX70
5460,NF(kappa)B p50-p65 complex,P19838
5460,NF(kappa)B p50-p65 complex,Q04206
5465,IKB(epsilon)-RELA-cREL complex,O00221
5465,IKB(epsilon)-RELA-cREL complex,Q04206
5465,IKB(epsilon)-RELA-cREL complex,Q04864
5466,IKB(beta)-RELA-cREL complex,Q04206
5466,IKB(beta)-RELA-cREL complex,Q04864
5466,IKB(beta)-RELA-cREL complex,Q15653
5467,IKB(alpha)-RELA-cREL complex,P25963
5467,IKB(alpha)-RELA-cREL complex,Q04206
5467,IKB(alpha)-RELA-cREL complex,Q04864
5473,"DISC complex (FAS, FADD, CASP8)",P25445
5473,"DISC complex (FAS, FADD, CASP8)",Q13158
5473,"DISC complex (FAS, FADD, CASP8)",Q14790
5475,MURR1-NF(kappa)Bp65-IKBA complex,P25963
5475,MURR1-NF(kappa)Bp65-IKBA complex,Q04206
5475,MURR1-NF(kappa)Bp65-IKBA complex,Q8N668
5492,NF(kappa)B p50-p65-IKBA complex,P19838
5492,NF(kappa)B p50-p65-IKBA complex,P25963
5492,NF(kappa)B p50-p65-IKBA complex,Q04206
5495,"CIA targeting (MIP18, CIAO1, MMS19) complex",O76071
5495,"CIA targeting (MIP18, CIAO1, MMS19) complex",Q96T76
5495,"CIA targeting (MIP18, CIAO1, MMS19) complex",Q9Y3D0
5498,ILK-PARVB-ARHGEF6 complex,Q13418
5498,ILK-PARVB-ARHGEF6 complex,Q15052
5498,ILK-PARVB-ARHGEF6 complex,Q9HBI1
5499,PARVB-ARHGEF6 complex,Q15052
5499,PARVB-ARHGEF6 complex,Q9HBI1
5502,EED-EZH-YY1 polycomb complex,O75530
5502,EED-EZH-YY1 polycomb complex,P25490
5502,EED-EZH-YY1 polycomb complex,Q15910
5513,RING1-Polycomb repressive complex,O00257
5513,RING1-Polycomb repressive complex,P35226
5513,RING1-Polycomb repressive complex,P78364
5513,RING1-Polycomb repressive complex,Q06587
5518,BMI1-HPH1-HPH2 complex,P35226
5518,BMI1-HPH1-HPH2 complex,P78364
5518,BMI1-HPH1-HPH2 complex,Q8IXK0
5521,EED-EZH polycomb complex,O75530
5521,EED-EZH polycomb complex,Q15910
5526,BCL2 -CALM1-FKBP38 complex,P0DP23
5526,BCL2 -CALM1-FKBP38 complex,P10415
5526,BCL2 -CALM1-FKBP38 complex,Q14318
5529,BIRC2-TRAF2 complex,Q12933
5529,BIRC2-TRAF2 complex,Q13490
5530,LTBR homodimer complex,P36941-1
5531,TNFR1-TRADD-TRAF2-cIAP1 complex,P19438
5531,TNFR1-TRADD-TRAF2-cIAP1 complex,Q12933
5531,TNFR1-TRADD-TRAF2-cIAP1 complex,Q13490
5531,TNFR1-TRADD-TRAF2-cIAP1 complex,Q15628
5534,PLCB1-PARD3-PARD6A complex,Q8TEW0
5534,PLCB1-PARD3-PARD6A complex,Q9NPB6
5534,PLCB1-PARD3-PARD6A complex,Q9NQ66
5535,PLCB3-PARD3-PARD6A complex,Q01970
5535,PLCB3-PARD3-PARD6A complex,Q8TEW0
5535,PLCB3-PARD3-PARD6A complex,Q9NPB6
5540,TRAF2-TRADD complex,Q12933
5540,TRAF2-TRADD complex,Q15628
5541,FADD-TRADD-TRAF2 complex,Q12933
5541,FADD-TRADD-TRAF2 complex,Q13158
5541,FADD-TRADD-TRAF2 complex,Q15628
5542,CCNB2-CDC2 complex,O95067
5542,CCNB2-CDC2 complex,P06493
5543,CCNB1-CDK1 complex,P06493
5543,CCNB1-CDK1 complex,P14635
5544,CCNB1-CDK1-GADD45A-PCNA complex,P06493
5544,CCNB1-CDK1-GADD45A-PCNA complex,P12004
5544,CCNB1-CDK1-GADD45A-PCNA complex,P14635
5544,CCNB1-CDK1-GADD45A-PCNA complex,P24522
5545,CCNB1-CDK1-GADD45B-PCNA complex,O75293
5545,CCNB1-CDK1-GADD45B-PCNA complex,P06493
5545,CCNB1-CDK1-GADD45B-PCNA complex,P12004
5545,CCNB1-CDK1-GADD45B-PCNA complex,P14635
5546,CCNB1-CDK1-GADD45G-PCNA complex,O95257
5546,CCNB1-CDK1-GADD45G-PCNA complex,P06493
5546,CCNB1-CDK1-GADD45G-PCNA complex,P12004
5546,CCNB1-CDK1-GADD45G-PCNA complex,P14635
5549,Interleukin-12B homodimer,P29460
5550,CDK1-CCNB1-CCNF complex,P06493
5550,CDK1-CCNB1-CCNF complex,P14635
5550,CDK1-CCNB1-CCNF complex,P41002
5551,CCNB1-CDK1-PTCH1 complex,P06493
5551,CCNB1-CDK1-PTCH1 complex,P14635
5551,CCNB1-CDK1-PTCH1 complex,Q13635
5556,CCNA2 -CDK2 complex,P20248
5556,CCNA2 -CDK2 complex,P24941
5557,CCNA2-CDK1 complex,P06493
5557,CCNA2-CDK1 complex,P20248
5558,PAR6-CDC42 complex,P60953
5558,PAR6-CDC42 complex,Q9BYG5
5560,CCNE1-CDK2 complex,P24864
5560,CCNE1-CDK2 complex,P24941
5564,LMO4-gp130 complex,O14543
5564,LMO4-gp130 complex,P23458
5564,LMO4-gp130 complex,P40189
5564,LMO4-gp130 complex,P61968
5564,LMO4-gp130 complex,Q06124
5573,Stat1-alpha-dimer-CBP DNA-protein complex,P42224
5573,Stat1-alpha-dimer-CBP DNA-protein complex,Q92793
5575,SHP-NR5A2 complex,O00482
5575,SHP-NR5A2 complex,Q15466
5579,CNTF-CNTFR-gp130-LIFR complex,P26441
5579,CNTF-CNTFR-gp130-LIFR complex,P26992
5579,CNTF-CNTFR-gp130-LIFR complex,P40189
5579,CNTF-CNTFR-gp130-LIFR complex,P42702
5582,LIFR-LIF-gp130 complex,P15018
5582,LIFR-LIF-gp130 complex,P40189
5582,LIFR-LIF-gp130 complex,P42702
5589,"LINC complex, S-phase",P10244
5589,"LINC complex, S-phase",P28749
5589,"LINC complex, S-phase",Q09028
5589,"LINC complex, S-phase",Q52LA3
5589,"LINC complex, S-phase",Q5TKA1
5589,"LINC complex, S-phase",Q6MZP7
5589,"LINC complex, S-phase",Q96GY3
5593,LINC core complex,Q09028
5593,LINC core complex,Q52LA3
5593,LINC core complex,Q5TKA1
5593,LINC core complex,Q6MZP7
5593,LINC core complex,Q96GY3
5596,"LINC complex, quiescent cells",Q08999
5596,"LINC complex, quiescent cells",Q09028
5596,"LINC complex, quiescent cells",Q16254
5596,"LINC complex, quiescent cells",Q52LA3
5596,"LINC complex, quiescent cells",Q5TKA1
5596,"LINC complex, quiescent cells",Q6MZP7
5596,"LINC complex, quiescent cells",Q96GY3
5604,Emerin complex 1,P35579
5604,Emerin complex 1,P50402
5604,Emerin complex 1,P60709
5604,Emerin complex 1,Q12965
5604,Emerin complex 1,Q13813
5604,Emerin complex 1,Q15417
5604,Emerin complex 1,Q8WWI1
5604,Emerin complex 1,Q9BRV8
5606,Emerin-actin-NMI-(alphaII)spectrin complex,P50402
5606,Emerin-actin-NMI-(alphaII)spectrin complex,P60709
5606,Emerin-actin-NMI-(alphaII)spectrin complex,Q13287
5606,Emerin-actin-NMI-(alphaII)spectrin complex,Q13813
5607,Emerin-actin-NMI complex,P50402
5607,Emerin-actin-NMI complex,P60709
5607,Emerin-actin-NMI complex,Q13287
5608,Emerin architectural complex,P02545
5608,Emerin architectural complex,P20700
5608,Emerin architectural complex,P50402
5608,Emerin architectural complex,P60709
5608,Emerin architectural complex,Q13287
5608,Emerin architectural complex,Q13813
5609,Emerin regulatory complex,O15379
5609,Emerin regulatory complex,O75531
5609,Emerin regulatory complex,P28749
5609,Emerin regulatory complex,P50402
5609,Emerin regulatory complex,P60709
5609,Emerin regulatory complex,P68431
5609,Emerin regulatory complex,Q02539
5609,Emerin regulatory complex,Q13547
5609,Emerin regulatory complex,Q8WWI1
5611,Emerin complex 24,P02545
5611,Emerin complex 24,P06400
5611,Emerin complex 24,P20700
5611,Emerin complex 24,P33991
5611,Emerin complex 24,P49736
5611,Emerin complex 24,P50402
5611,Emerin complex 24,P68431
5611,Emerin complex 24,Q00839
5611,Emerin complex 24,Q02539
5611,Emerin complex 24,Q07021
5611,Emerin complex 24,Q08999
5611,Emerin complex 24,Q13287
5611,Emerin complex 24,Q14566
5611,Emerin complex 24,Q9H0E3
5611,Emerin complex 24,Q9H503
5613,Emerin complex 25,O75531
5613,Emerin complex 25,O95218
5613,Emerin complex 25,O95777
5613,Emerin complex 25,P05455
5613,Emerin complex 25,P20700
5613,Emerin complex 25,P31946
5613,Emerin complex 25,P50402
5613,Emerin complex 25,P60709
5613,Emerin complex 25,P61978
5613,Emerin complex 25,P62258
5613,Emerin complex 25,P62314
5613,Emerin complex 25,Q13283
5613,Emerin complex 25,Q16543
5613,Emerin complex 25,Q9H0E3
5613,Emerin complex 25,Q9P287
5613,Emerin complex 25,Q9Y333
5614,Emerin complex 32,O00422
5614,Emerin complex 32,O15379
5614,Emerin complex 32,P20700
5614,Emerin complex 32,P28749
5614,Emerin complex 32,P50402
5614,Emerin complex 32,P60709
5614,Emerin complex 32,P68431
5614,Emerin complex 32,Q08999
5614,Emerin complex 32,Q12824
5614,Emerin complex 32,Q13263
5614,Emerin complex 32,Q13287
5614,Emerin complex 32,Q13547
5614,Emerin complex 32,Q13813
5614,Emerin complex 32,Q14839
5614,Emerin complex 32,Q8TAQ2
5614,Emerin complex 32,Q92922
5614,Emerin complex 32,Q9BQ87
5614,Emerin complex 32,Q9BZK7
5614,Emerin complex 32,Q9C005
5614,Emerin complex 32,Q9H503
5614,Emerin complex 32,Q9NPJ6
5614,Emerin complex 32,Q9UKL0
5615,Emerin complex 52,O00148
5615,Emerin complex 52,O95777
5615,Emerin complex 52,P10827
5615,Emerin complex 52,P12277
5615,Emerin complex 52,P14866
5615,Emerin complex 52,P20700
5615,Emerin complex 52,P27348
5615,Emerin complex 52,P46940
5615,Emerin complex 52,P50402
5615,Emerin complex 52,P51858
5615,Emerin complex 52,P60709
5615,Emerin complex 52,P61978
5615,Emerin complex 52,P62258
5615,Emerin complex 52,P62314
5615,Emerin complex 52,Q00839
5615,Emerin complex 52,Q02539
5615,Emerin complex 52,Q07021
5615,Emerin complex 52,Q08999
5615,Emerin complex 52,Q12906
5615,Emerin complex 52,Q13287
5615,Emerin complex 52,Q53EL6
5615,Emerin complex 52,Q9BZZ5
5615,Emerin complex 52,Q9Y2U8
5622,HSP90-CIP1-FKBPL complex,P07900
5622,HSP90-CIP1-FKBPL complex,P38936
5622,HSP90-CIP1-FKBPL complex,Q9UIM3
5641,PSD95-FYN-NR2A complex,P06241
5641,PSD95-FYN-NR2A complex,P78352
5641,PSD95-FYN-NR2A complex,Q12879
5642,Securin-separase complex,O95997
5642,Securin-separase complex,Q14674
5643,ESPL1-CDC2 complex,P06493
5643,ESPL1-CDC2 complex,Q14674
5646,FARP2-NRP1-PlexinA1 complex,O14786
5646,FARP2-NRP1-PlexinA1 complex,O94887
5646,FARP2-NRP1-PlexinA1 complex,Q9UIW2
5647,FARP2-NRP1-PlexinA2 complex,O14786
5647,FARP2-NRP1-PlexinA2 complex,O75051
5647,FARP2-NRP1-PlexinA2 complex,O94887
5648,FARP2-NRP1-PlexinA3 complex,O14786
5648,FARP2-NRP1-PlexinA3 complex,O94887
5648,FARP2-NRP1-PlexinA3 complex,P51805
5649,FARP2-NRP1-PlexinA4 complex,O14786
5649,FARP2-NRP1-PlexinA4 complex,O94887
5649,FARP2-NRP1-PlexinA4 complex,Q9HCM2
5654,SEMA4A-PlexinD1 complex,Q9H3S1
5654,SEMA4A-PlexinD1 complex,Q9Y4D7
5655,"Ternary complex (ACTN4, CAMK2A, LRRC7)",O43707
5655,"Ternary complex (ACTN4, CAMK2A, LRRC7)",Q96NW7
5655,"Ternary complex (ACTN4, CAMK2A, LRRC7)",Q9UQM7
5656,CEBPE-E2F1-RB1 complex,P06400
5656,CEBPE-E2F1-RB1 complex,Q01094
5656,CEBPE-E2F1-RB1 complex,Q15744
5658,Nrp1-PlexinD1 complex,O14786
5658,Nrp1-PlexinD1 complex,Q9Y4D7
5659,SEMA3C-PlexinD1-Nrp1 complex,O14786
5659,SEMA3C-PlexinD1-Nrp1 complex,Q99985
5659,SEMA3C-PlexinD1-Nrp1 complex,Q9Y4D7
5660,PlexinC1-SEMA7A complex,O60486
5660,PlexinC1-SEMA7A complex,O75326
5661,PlexinC1-SEMA7A complex,O43157
5661,PlexinC1-SEMA7A complex,Q92854
5663,TRIM27-RB1 complex,P06400
5663,TRIM27-RB1 complex,P14373
5669,PlexinA3-Nrp1 complex,O14786
5669,PlexinA3-Nrp1 complex,P51805
5670,PlexinB1-Nrp1 complex,O14786
5670,PlexinB1-Nrp1 complex,O43157
5673,PlexinA1-Nrp2 complex,O60462
5673,PlexinA1-Nrp2 complex,Q9UIW2
5683,RAD51-RAD51D-XRCC3 complex,O43543
5683,RAD51-RAD51D-XRCC3 complex,O75771
5683,RAD51-RAD51D-XRCC3 complex,Q06609
5685,"Membrane protein complex (DERL1, NPLOC4, UFD1L, VCP, VIMP)",P55072
5685,"Membrane protein complex (DERL1, NPLOC4, UFD1L, VCP, VIMP)",Q8TAT6
5685,"Membrane protein complex (DERL1, NPLOC4, UFD1L, VCP, VIMP)",Q92890
5685,"Membrane protein complex (DERL1, NPLOC4, UFD1L, VCP, VIMP)",Q9BQE4
5685,"Membrane protein complex (DERL1, NPLOC4, UFD1L, VCP, VIMP)",Q9BUN8
5689,SEMA6D-PlexinA1-NRP1 complex,O14786
5689,SEMA6D-PlexinA1-NRP1 complex,Q8NFY4
5689,SEMA6D-PlexinA1-NRP1 complex,Q9UIW2
5691,TALL1 homo-oligomer complex,Q9Y275
5693,BAZ2A-DNMT1-DNMT3B-HDAC1-SMARCA5 complex,O60264
5693,BAZ2A-DNMT1-DNMT3B-HDAC1-SMARCA5 complex,P26358
5693,BAZ2A-DNMT1-DNMT3B-HDAC1-SMARCA5 complex,Q13547
5693,BAZ2A-DNMT1-DNMT3B-HDAC1-SMARCA5 complex,Q9UBC3
5693,BAZ2A-DNMT1-DNMT3B-HDAC1-SMARCA5 complex,Q9UIF9
5696,NRP2-VEGF145 complex,O60462
5696,NRP2-VEGF145 complex,P15692-6
5698,FLT1-VEGF-A165b complex,P15692-8
5698,FLT1-VEGF-A165b complex,P17948
5701,NRP1-VEGF-A165/121 complex,O14786
5701,NRP1-VEGF-A165/121 complex,P15692-4
5709,CBL-PTK2B-SORBS2 complex,O94875
5709,CBL-PTK2B-SORBS2 complex,P22681
5709,CBL-PTK2B-SORBS2 complex,Q14289
5710,PRMT2 homo-oligomer complex,P55345
5712,"FAK-beta5 integrin complex, VEGF induced",P18084
5712,"FAK-beta5 integrin complex, VEGF induced",Q05397
5713,CBL-OSTF1-SRC complex,P12931
5713,CBL-OSTF1-SRC complex,P22681
5713,CBL-OSTF1-SRC complex,Q92882
5714,NOS3-CAV1 complex,P29474
5714,NOS3-CAV1 complex,Q03135
5716,"NOS3-HSP90 complex, VEGF induced",P07900
5716,"NOS3-HSP90 complex, VEGF induced",P29474
5718,"NOS3-HSP90-AKT complex, VEGF induced",P07900
5718,"NOS3-HSP90-AKT complex, VEGF induced",P29474
5718,"NOS3-HSP90-AKT complex, VEGF induced",P31749
5720,CIN85-CBL complex,P22681
5720,CIN85-CBL complex,Q96B97
5721,CIN85-CBL-SH3GL2 complex,P22681
5721,CIN85-CBL-SH3GL2 complex,Q96B97
5721,CIN85-CBL-SH3GL2 complex,Q99962
5724,CIN85-SH3GL3-CBL complex,P22681
5724,CIN85-SH3GL3-CBL complex,Q96B97
5724,CIN85-SH3GL3-CBL complex,Q99963
5727,TBP-TAF complex,P20226
5727,TBP-TAF complex,Q15572
5727,TBP-TAF complex,Q15573
5727,TBP-TAF complex,Q53T94
5730,IKBKG homotrimer complex,Q9Y6K9
5731,"NRP1-VEGFC complex, heparin dependent",O14786
5731,"NRP1-VEGFC complex, heparin dependent",P49767
5732,NRP2-VEGFC complex,O60462
5732,NRP2-VEGFC complex,P49767
5733,"NRP2-VEGFD complex, heparin dependent",O43915
5733,"NRP2-VEGFD complex, heparin dependent",O60462
5734,"NRP1-VEGFD complex, heparin dependent",O14786
5734,"NRP1-VEGFD complex, heparin dependent",O43915
5735,SMAD3-TGFBR1-TGFBR2 complex,P36897
5735,SMAD3-TGFBR1-TGFBR2 complex,P37173
5735,SMAD3-TGFBR1-TGFBR2 complex,P84022
5736,"Pre-initiation complex (ACTB, POLR2A, TBP)",P20226
5736,"Pre-initiation complex (ACTB, POLR2A, TBP)",P24928
5736,"Pre-initiation complex (ACTB, POLR2A, TBP)",P60709
5740,NRP2-VEGFR3 complex,O60462
5740,NRP2-VEGFR3 complex,P35916
5745,PlexinA1-NRP1 complex,O14786
5745,PlexinA1-NRP1 complex,Q9UIW2
5746,NRP1-PLXNA1-SEMA3A complex,O14786
5746,NRP1-PLXNA1-SEMA3A complex,Q14563
5746,NRP1-PLXNA1-SEMA3A complex,Q9UIW2
5747,2AR-mGluR2 complex,P08913
5747,2AR-mGluR2 complex,P42262
5748,2AR-mGluR2 complex,P08913
5748,2AR-mGluR2 complex,P42262
5749,MRIT complex,O15519
5749,MRIT complex,Q07817
5749,MRIT complex,Q14790
5755,SUA1-SUMO1-UBA2 complex,P63165
5755,SUA1-SUMO1-UBA2 complex,Q9UBE0
5755,SUA1-SUMO1-UBA2 complex,Q9UBT2
5756,SUA1-UBA2 complex,Q9UBE0
5756,SUA1-UBA2 complex,Q9UBT2
5757,PLXNA1-RANBPM complex,Q96S59
5757,PLXNA1-RANBPM complex,Q9UIW2
5758,PLXNA2-RANBPM complex,O75051
5758,PLXNA2-RANBPM complex,Q96S59
5759,PLXNA3-RANBPM complex,P51805
5759,PLXNA3-RANBPM complex,Q96S59
5760,PLXNA4-RANBPM complex,Q96S59
5760,PLXNA4-RANBPM complex,Q9HCM2
5762,"CRMP-MICAL-PlexinA1 complex, induced by SEMA3A",Q14194
5762,"CRMP-MICAL-PlexinA1 complex, induced by SEMA3A",Q8TDZ2
5762,"CRMP-MICAL-PlexinA1 complex, induced by SEMA3A",Q9UIW2
5770,RUNX1-CBF-beta-DNA complex,Q01196
5770,RUNX1-CBF-beta-DNA complex,Q13951
5772,ZO1-(beta)cadherin-(VE)cadherin-VEGFR2 complex,P33151
5772,ZO1-(beta)cadherin-(VE)cadherin-VEGFR2 complex,P35222
5772,ZO1-(beta)cadherin-(VE)cadherin-VEGFR2 complex,P35968
5772,ZO1-(beta)cadherin-(VE)cadherin-VEGFR2 complex,Q07157
5798,"Death induced signaling complex II (CASP8, CFLAR, FADD), cytosolic, CD95L induced",O15519
5798,"Death induced signaling complex II (CASP8, CFLAR, FADD), cytosolic, CD95L induced",Q13158
5798,"Death induced signaling complex II (CASP8, CFLAR, FADD), cytosolic, CD95L induced",Q14790
5799,"DISC complex (FAS, FADD, CASP8, CFLAR), membrane-associated, CD95L induced",O15519
5799,"DISC complex (FAS, FADD, CASP8, CFLAR), membrane-associated, CD95L induced",P25445
5799,"DISC complex (FAS, FADD, CASP8, CFLAR), membrane-associated, CD95L induced",Q13158
5799,"DISC complex (FAS, FADD, CASP8, CFLAR), membrane-associated, CD95L induced",Q14790
5800,"DISC complex (FAS, FADD, CASP8)",P25445
5800,"DISC complex (FAS, FADD, CASP8)",Q13158
5800,"DISC complex (FAS, FADD, CASP8)",Q14790
5805,KEAP1-NRF2-PGAM5 complex,Q14145
5805,KEAP1-NRF2-PGAM5 complex,Q16236
5805,KEAP1-NRF2-PGAM5 complex,Q96HS1
5808,"DISC complex (CD95, FADD, CASP8)",Q13158
5808,"DISC complex (CD95, FADD, CASP8)",Q14790
5808,"DISC complex (CD95, FADD, CASP8)",Q8IUB6
5809,"GABA-A receptor (GABRA1, GABRB2, GABRG2)",P14867
5809,"GABA-A receptor (GABRA1, GABRB2, GABRG2)",P18507
5809,"GABA-A receptor (GABRA1, GABRB2, GABRG2)",P47870
5811,p53-BCL2 complex,P04637
5811,p53-BCL2 complex,P10415
5812,p53-BCL2 complex,P04637
5812,p53-BCL2 complex,Q07817
5816,"Apoptosome, 700 kDa",O14727
5816,"Apoptosome, 700 kDa",P55211
5816,"Apoptosome, 700 kDa",P99999
5823,MCL1-BAK1 complex,Q07820
5823,MCL1-BAK1 complex,Q16611
5827,IKBKG homotetramer complex,Q9Y6K9
5828,IKBKG-IKBKB  complex,O14920
5828,IKBKG-IKBKB  complex,Q9Y6K9
5829,IKBKG-CHUK complex,O15111
5829,IKBKG-CHUK complex,Q9Y6K9
5830,"DJ-1-SNCA complex, high molecular weight",P37840
5830,"DJ-1-SNCA complex, high molecular weight",Q99497
5832,PINK1-RHOT2-TRAK1 complex,Q8IXI1
5832,PINK1-RHOT2-TRAK1 complex,Q9BXM7
5832,PINK1-RHOT2-TRAK1 complex,Q9UPV9
5836,RHOT2-TRAK1 complex,Q8IXI1
5836,RHOT2-TRAK1 complex,Q9UPV9
5837,PPD complex,O60260
5837,PPD complex,Q99497
5837,PPD complex,Q9BXM7
5843,AIF-CYPA-DNA complex,O95831
5843,AIF-CYPA-DNA complex,P62937
5844,I-kappa-B kinase complex,O14920
5844,I-kappa-B kinase complex,O15111
5844,I-kappa-B kinase complex,Q9Y6K9
5849,HSP90-CDC37-LRRK2 complex,P08238
5849,HSP90-CDC37-LRRK2 complex,Q16543
5849,HSP90-CDC37-LRRK2 complex,Q5S007
5856,AK2-FADD-caspase-10 (AFAC10) complex,P54819
5856,AK2-FADD-caspase-10 (AFAC10) complex,Q13158
5856,AK2-FADD-caspase-10 (AFAC10) complex,Q92851
5859,FAS-FADD-CASP8-CASP10 complex,P25445
5859,FAS-FADD-CASP8-CASP10 complex,Q13158
5859,FAS-FADD-CASP8-CASP10 complex,Q14790
5859,FAS-FADD-CASP8-CASP10 complex,Q92851
5860,"DISC complex (FAS, FADD, CASP8)",P25445
5860,"DISC complex (FAS, FADD, CASP8)",Q13158
5860,"DISC complex (FAS, FADD, CASP8)",Q14790
5861,FAS-FADD-CASP10 complex,P25445
5861,FAS-FADD-CASP10 complex,Q13158
5861,FAS-FADD-CASP10 complex,Q92851
5862,CAV1-VDAC1-ESR1 complex,P03372
5862,CAV1-VDAC1-ESR1 complex,P21796
5862,CAV1-VDAC1-ESR1 complex,Q03135
5870,APBB1-TSHZ3-HDAC1 complex,O00213
5870,APBB1-TSHZ3-HDAC1 complex,Q13547
5870,APBB1-TSHZ3-HDAC1 complex,Q63HK5
5872,BRAF-MAP2K1-MAP2K2-YWHAE complex,P15056
5872,BRAF-MAP2K1-MAP2K2-YWHAE complex,P36507
5872,BRAF-MAP2K1-MAP2K2-YWHAE complex,P62258
5872,BRAF-MAP2K1-MAP2K2-YWHAE complex,Q02750
5873,RAF1-MAP2K1-YWHAE complex,P04049
5873,RAF1-MAP2K1-YWHAE complex,P62258
5873,RAF1-MAP2K1-YWHAE complex,Q02750
5876,PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex,P30153
5876,PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex,P30154
5876,PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex,P60842
5876,PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex,P67775
5876,PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex,Q9Y570
5877,MAP2K1-BRAF-RAF1-YWHAE-KSR1 complex,P04049
5877,MAP2K1-BRAF-RAF1-YWHAE-KSR1 complex,P15056
5877,MAP2K1-BRAF-RAF1-YWHAE-KSR1 complex,P62258
5877,MAP2K1-BRAF-RAF1-YWHAE-KSR1 complex,Q02750
5877,MAP2K1-BRAF-RAF1-YWHAE-KSR1 complex,Q8IVT5
5918,KSR1 homo-oligomer complex,Q8IVT5
5919,BRAF-RAF1-14-3-3 complex,P04049
5919,BRAF-RAF1-14-3-3 complex,P15056
5919,BRAF-RAF1-14-3-3 complex,P63104
5920,KSR1-RAF1-MEK complex,P04049
5920,KSR1-RAF1-MEK complex,Q02750
5920,KSR1-RAF1-MEK complex,Q8IVT5
5921,KSR1-BRAF-MEK complex,P15056
5921,KSR1-BRAF-MEK complex,Q02750
5921,KSR1-BRAF-MEK complex,Q8IVT5
